"ID","大カテゴリ","中カテゴリ","機能名","機能概要","対象ユーザ","モック実装状況","想定フェーズ","MoSCoW優先度案","想定工数","依存関係","備考"
"B-011","認証・ウォレット","ウォレット","ネットワーク切替UI／不一致警告","チェーン誤りの検出と警告","一般ユーザ","未実装","P1(初期必須)","Must","S","-","Mainnet時のミス防止"
"B-012","認証・ウォレット","ウォレット","ウォレット切替UI","複数ウォレットの切替","一般ユーザ","未実装","P3(半年内)","Could","M","B-008","-"
"B-013","認証・ウォレット","プロフィール","プロフィール作成（NameStone/ENS）","名前・アバターURL・自己紹介","一般ユーザ","実装済","P1(初期必須)","Must","-","-","profile/create.tsx"
"B-014","認証・ウォレット","プロフィール","プロフィール編集","作成済プロフィールの修正","一般ユーザ","未実装","P1(初期必須)","Must","M","B-013","route file のみ存在"
"B-015","認証・ウォレット","プロフィール","アバター画像アップロード","現状URL貼付のみ。ファイルアップ対応","一般ユーザ","部分実装","P2(リリース直後)","Should","M","K-019","ストレージ（S3/R2）必要"
"B-016","認証・ウォレット","プロフィール","アカウント削除","退会処理","一般ユーザ","未実装","P1(初期必須)","Must","M","O-005","route fileのみ。GDPR/個人情報保護法対応"
"B-017","認証・ウォレット","オンボーディング","AllowList申請（規約同意＋署名）","利用規約同意の上でAllowListに追加","一般ユーザ","実装済","P1(初期必須)","Must","-","-","welcome.tsx"
"B-018","認証・ウォレット","オンボーディング","AllowList署名APIサーバ側","ADMIN_PRIVATE_KEYで署名発行","運用","部分実装","P1(初期必須)","Must","M","J-008","現在は環境変数。KMS/Vault化が必要"
"B-019","認証・ウォレット","プロフィール","他ユーザプロフィール表示","公開プロフィールの閲覧","一般ユーザ","実装済","P1(初期必須)","Must","-","-","users/$address.tsx"
"C-001","ドメインUX","森の貯金箱","森の貯金箱画面（基金残高・累計）","基金ウォレット残高と累計拠出を可視化","一般ユーザ","未実装","P2(リリース直後)","Must","M","F-002","forest-bank.tsx は h1 のみ"
"C-002","ドメインUX","森の貯金箱","森の貯金箱の使途内訳","用途別（森・川・コミュニティ）の累計","一般ユーザ","未実装","P2(リリース直後)","Should","M","C-001","-"
"C-003","ドメインUX","森の貯金箱","インパクトレポート（使途報告）","基金が何に使われたか","一般ユーザ","未実装","P3(半年内)","Should","L","-","運用記事のCMSと併走検討"
"C-004","ドメインUX","配分比率","現在の配分比率の表示","オンチェーンから取得して表示","一般ユーザ","部分実装","P1(初期必須)","Must","S","F-002","GraphQLクエリは存在、UI未配置"
"C-005","ドメインUX","配分比率","配分比率の履歴","過去の比率変更履歴を表示","一般ユーザ／運営","部分実装","P2(リリース直後)","Should","S","F-002","クエリは存在"
"C-006","ドメインUX","ランク","ランク機能（拠出に応じた称号）","継続貢献の可視化","一般ユーザ","未実装","P3(半年内)","Could","M","-","rank.tsx は h1 のみ"
"C-007","ドメインUX","ランク","リーダーボード","コミュニティ全体での貢献ランキング","一般ユーザ","未実装","P3(半年内)","Could","M","C-006","プライバシー考慮（オプトイン）"
"C-008","ドメインUX","バッジ","拠出バッジ（NFT or オフチェーン）","コミュニティへの貢献の証","一般ユーザ","未実装","P4(1年内)","Could","L","C-006","NFT化は別議論"
"D-001","管理画面","ダッシュボード","運営者ダッシュボード","KPI（DAU・送金件数・基金残高）の概観","運営／管理者","未実装","P2(リリース直後)","Must","L","D-002,F-002","-"
"D-002","管理画面","ユーザ管理","ユーザ一覧・検索・絞込","運営側でのユーザ把握","運営／管理者","未実装","P2(リリース直後)","Must","M","-","-"
"D-003","管理画面","ユーザ管理","ユーザ招待（メール）","限定招待でのオンボーディング","運営","未実装","P2(リリース直後)","Should","M","G-001","コミュニティ通貨は招待制が一般的"
"D-004","管理画面","ユーザ管理","ユーザ無効化／凍結","違反者の利用停止","運営","未実装","P2(リリース直後)","Must","M","D-002","オンチェーン側のAllowList削除と連動"
"D-005","管理画面","AllowList","AllowList一括管理UI","CSV/UIでの追加・削除","運営","部分実装","P2(リリース直後)","Must","M","B-018","現状はサーバAPIのみ"
"D-006","管理画面","オンチェーン操作","配分比率変更UI","RATIO_MANAGER_ROLE 操作のUI化","運営／管理者","未実装","P2(リリース直後)","Should","M","E-004,L-004","Multisig運用前提が望ましい"
"D-007","管理画面","オンチェーン操作","基金ウォレット変更UI","FUND_MANAGER_ROLE 操作のUI化","運営","未実装","P2(リリース直後)","Should","M","E-005,L-004","-"
"D-008","管理画面","オンチェーン操作","Pause／Unpause UI","緊急停止のオペレーションUI","運営","未実装","P1(初期必須)","Must","M","E-006,L-006","事故時の即応に必要"
"D-009","管理画面","ユーザ管理","ロール付与／剥奪UI","オンチェーン Role の管理","運営","未実装","P3(半年内)","Should","M","E-001,E-002","-"
"D-010","管理画面","モニタリング","異常検知（大口送金・短期連続送金）","運用上の異常パターン検出","運営","未実装","P3(半年内)","Should","L","K-012","-"
"D-011","管理画面","管理サポート","管理者によるパスワード／ログイン代替","Privy管理だが運用代行が必要なケース","運営","未実装","P3(半年内)","Could","M","B-001","コミュニティ通貨想定では限定的"
"D-012","管理画面","モデレーション","通報・モデレーションキュー","ユーザ報告の集約・対応管理","運営","未実装","P2(リリース直後)","Should","M","A-033","-"
"D-013","管理画面","監査","Admin監査ログ","管理者の操作履歴の記録","運営／監査","未実装","P2(リリース直後)","Must","M","K-011","内部統制の最低線"
"D-014","管理画面","権限","管理者向けRBAC（フロント側）","運営／カスタマーサポート／監査の権限分離","運営","未実装","P3(半年内)","Should","M","D-001","-"
"D-015","管理画面","権限","403／権限不足時の表示","権限のない画面でのフォールバック","運営","未実装","P2(リリース直後)","Should","S","D-014","-"
"E-001","スマートコントラクト","コア","FoRToken（ERC20+Permit+AccessControl）","通貨本体","-","実装済","P1(初期必須)","Must","-","-","contracts/FoRToken.sol"
"E-002","スマートコントラクト","コア","Router（transferWithPermit/transferWithDistribution）","分配ルーター","-","実装済","P1(初期必須)","Must","-","-","contracts/Router.sol"
"E-003","スマートコントラクト","コア","RouterFactory（Create2）","決定的デプロイ用","-","実装済","P1(初期必須)","Must","-","-","-"
"E-004","スマートコントラクト","コア","配分比率変更（ratioマネージャ）","fund/burn 比率の管理","-","実装済","P1(初期必須)","Must","-","-","setFundRatio/setBurnRatio"
"E-005","スマートコントラクト","コア","基金ウォレット変更（fundマネージャ）","setFundWallet","-","実装済","P1(初期必須)","Must","-","-","-"
"E-006","スマートコントラクト","コア","Pause/Unpause","緊急停止","-","実装済","P1(初期必須)","Must","-","-","whenNotPaused"
"E-007","スマートコントラクト","コア","ReentrancyGuard","再入攻撃対策","-","実装済","P1(初期必須)","Must","-","-","-"
"E-008","スマートコントラクト","コア","Solidity pragma 統一","Router 0.8.20 と FoRToken 0.8.28 の整合","-","部分実装","P1(初期必須)","Must","S","-","-"
"E-009","スマートコントラクト","商品購入","ロック・エスクローContract","商品購入時のFORロック・キャンセル可能期間","-","未実装","P2(リリース直後)","Must","XL","-","READMEに機能記載・実装無し"
"E-010","スマートコントラクト","商品購入","ロック解除後の出品者引き出し","unlock 後の receivable","-","未実装","P2(リリース直後)","Must","M","E-009","-"
"E-011","スマートコントラクト","商品購入","購入キャンセル時の返金","ロック期間中のキャンセル処理","-","未実装","P2(リリース直後)","Must","M","E-009","-"
"E-012","スマートコントラクト","運用","Mainnet hardhat config","本番チェーン定義","-","未実装","P1(初期必須)","Must","S","-","sepolia/localhost のみ"
"E-013","スマートコントラクト","運用","Mainnet デプロイスクリプト（Ignition）","本番デプロイ手順","-","未実装","P1(初期必須)","Must","M","E-012","-"
"E-014","スマートコントラクト","運用","Etherscan コントラクト Verify","ABI 検証・透明性","-","部分実装","P1(初期必須)","Must","S","E-013","Sepolia状態は要確認"
"E-015","スマートコントラクト","運用","Etherscan トークン情報（ロゴ・概要）","ユーザ向け表示の整備","-","未実装","P2(リリース直後)","Should","S","E-014","-"
"E-016","スマートコントラクト","セキュリティ","第三者監査（外部監査会社）","本番前のセキュリティレビュー","-","未実装","P1(初期必須)","Must","XL","-","小規模監査でもUSD3〜5K以上"
"E-017","スマートコントラクト","セキュリティ","Slither／Mythril 静的解析","CI で自動実行","-","未実装","P1(初期必須)","Must","M","-","CIへ組込み"
"E-018","スマートコントラクト","セキュリティ","Bug Bounty プログラム","Immunefi 等での懸賞","-","未実装","P3(半年内)","Could","L","E-016","流通量に応じて"
"E-019","スマートコントラクト","セキュリティ","SECURITY.md／脆弱性報告窓口","責任ある開示プロセス","-","未実装","P1(初期必須)","Must","S","-","-"
"E-020","スマートコントラクト","テスト","Forge Fuzz／Invariant テスト","ランダム入力での性質検証","-","未実装","P2(リリース直後)","Should","M","-","-"
"E-021","スマートコントラクト","テスト","コントラクトカバレッジ計測（hardhat-coverage）","カバレッジレポート","-","未実装","P2(リリース直後)","Should","S","-","-"
"E-022","スマートコントラクト","運用","ガスベンチマーク・最適化レポート","主要関数のガス消費の文書化","-","未実装","P2(リリース直後)","Could","M","-","-"
"E-023","スマートコントラクト","運用","Upgrade戦略の文書化","プロキシ未使用での移行手順","-","未実装","P1(初期必須)","Must","M","-","重要なリスク管理"
"E-024","スマートコントラクト","運用","イベント設計レビュー（インデクサー連動）","Subgraphで取りこぼしなくindex","-","部分実装","P2(リリース直後)","Should","S","F-001","-"
"F-001","インデクサー","Subgraph","Goldsky Subgraph（Router/Token events）","Transfer/Distribution/AllowList の Index","-","実装済","P1(初期必須)","Must","-","-","subgraph.template.yaml"
"F-002","インデクサー","Subgraph","GraphQLクエリ集（transfers/users/ratios）","フロント用クエリ","-","実装済","P1(初期必須)","Must","-","-","app/graphql/queries.ts"
"F-003","インデクサー","Subgraph","Mainnet Subgraph 構成","本番チェーンの subgraph 設定","-","未実装","P1(初期必須)","Must","M","E-013","config/base.json はテンプレート"
"F-004","インデクサー","運用","リインデックス手順書","スキーマ変更時のマイグレーションSOP","-","未実装","P2(リリース直後)","Should","S","-","-"
"F-005","インデクサー","運用","Subgraph障害時のフォールバック","ダウン時のRPC直叩き or 代替","-","未実装","P2(リリース直後)","Should","M","K-014","-"
"F-006","インデクサー","運用","Subgraphアラート（同期遅延・失敗）","Goldsky メトリクスからの通知","-","未実装","P2(リリース直後)","Must","S","K-009,G-008","-"
"F-007","インデクサー","運用","GraphQLレート制限／認証","本番でのアクセス制御","-","未実装","P2(リリース直後)","Should","M","-","Goldskyプラン依存"
"F-008","インデクサー","フロント","GraphQL クエリのキャッシュ／リトライ","TanStack Query 設定の精緻化","-","部分実装","P2(リリース直後)","Should","S","-","staleTime/retry設定確認"
"F-009","インデクサー","運用","スキーマ変更時のマイグレーションテスト","破壊的変更検出","-","未実装","P3(半年内)","Could","M","F-004","-"
"G-001","通知・サポート","メール","トランザクションメール基盤（SES/SendGrid/Resend）","メール送信のSaaS基盤","運用","未実装","P1(初期必須)","Must","M","-","通知・サポート全般の基盤"
"G-002","通知・サポート","メール","ウェルカムメール","登録時の確認メール","一般ユーザ","未実装","P1(初期必須)","Must","S","G-001","-"
"G-003","通知・サポート","メール","送金完了メール","ユーザ操作の通知","一般ユーザ","未実装","P2(リリース直後)","Should","S","G-001","-"
"G-004","通知・サポート","メール","受取通知メール","受取側への通知","一般ユーザ","未実装","P2(リリース直後)","Should","S","G-001","-"
"G-005","通知・サポート","メール","重要なお知らせ／規約改訂通知","利用規約・プラポリの再同意導線","一般ユーザ","未実装","P2(リリース直後)","Must","M","G-001,H-005","-"
"G-006","通知・サポート","アプリ内","サイト内通知センター","サイト内のお知らせ一覧","一般ユーザ","未実装","P3(半年内)","Should","M","-","-"
"G-007","通知・サポート","アプリ内","通知設定画面","メール／プッシュ／アプリ内のオンオフ","一般ユーザ","未実装","P3(半年内)","Should","M","G-001","route file のみ"
"G-008","通知・サポート","運用通知","Slack／Discord 障害アラート","運用向け即時通知","運営","未実装","P1(初期必須)","Must","S","K-009","-"
"G-009","通知・サポート","アプリ内","Push通知（PWA／FCM）","モバイルアプリ的体験","一般ユーザ","未実装","P4(1年内)","Could","L","I-010","-"
"G-010","通知・サポート","サポート","お問い合わせフォーム","サポート受付窓口","一般ユーザ","未実装","P1(初期必須)","Must","S","G-001","-"
"G-011","通知・サポート","サポート","FAQページ","よくある質問","一般ユーザ","未実装","P2(リリース直後)","Should","M","-","-"
"G-012","通知・サポート","サポート","ヘルプセンター","操作マニュアル","一般ユーザ","未実装","P3(半年内)","Could","M","G-011","-"
"H-001","SEO・法務","規約","利用規約（テンプレート→具体化）","会社名・サービス名の差し替えと項目精査","運営／法務","部分実装","P1(初期必須)","Must","M","-","app/content/terms.md がテンプレ"
"H-002","SEO・法務","規約","プライバシーポリシー（具体化）","個人情報取扱いの整備","運営／法務","部分実装","P1(初期必須)","Must","M","-","-"
"H-003","SEO・法務","規約","特定商取引法に基づく表記","商品購入機能を提供する以上必須","運営","未実装","P1(初期必須)","Must","M","A-027","-"
"H-004","SEO・法務","規約","Cookie同意バナー","必要なクッキー利用の説明と同意","一般ユーザ","未実装","P2(リリース直後)","Should","M","-","Privy/Pimlico利用時の整理"
"H-005","SEO・法務","規約","利用規約改訂時の再同意","旧バージョンとの差分提示・同意取得","一般ユーザ","未実装","P2(リリース直後)","Should","M","H-001","-"
"H-006","SEO・法務","規約","利用規約・プラポリのバージョン管理","版管理と監査","運営","未実装","P2(リリース直後)","Should","S","-","-"
"H-007","SEO・法務","SEO","robots.txt","クローリング制御","-","未実装","P1(初期必須)","Must","S","-","-"
"H-008","SEO・法務","SEO","sitemap.xml","SEO基本","-","未実装","P2(リリース直後)","Should","S","-","-"
"H-009","SEO・法務","SEO","OGP／Twitter Card","SNSシェア時のプレビュー","-","未実装","P1(初期必須)","Must","M","-","Web3コミュニティ通貨はバズ起点でも重要"
"H-010","SEO・法務","SEO","各ページの meta description","SEO基本","-","部分実装","P2(リリース直後)","Should","M","-","home のみ description あり"
"H-011","SEO・法務","SEO","JSON-LD 構造化データ","検索結果リッチ化","-","未実装","P3(半年内)","Could","M","-","-"
"H-012","SEO・法務","運営情報","運営者・連絡先ページ","About／コミュニティ説明","-","未実装","P1(初期必須)","Must","S","-","-"
"H-013","SEO・法務","セキュリティ告知","Webセキュリティポリシー","脆弱性報告窓口の周知（E-019とセット）","-","未実装","P1(初期必須)","Must","S","E-019","-"
"H-014","SEO・法務","エラーページ","404／500／503／メンテナンス画面","適切なエラーUI","一般ユーザ","未実装","P1(初期必須)","Must","S","-","React Routerの ErrorBoundary 整備"
"I-001","アクセシビリティ・i18n","i18n","i18nフレームワーク（i18next等）導入","多言語対応の基盤","-","未実装","P3(半年内)","Should","L","-","現状日本語固定"
"I-002","アクセシビリティ・i18n","i18n","言語スイッチUI","言語切替","一般ユーザ","未実装","P3(半年内)","Could","S","I-001","route file のみ"
"I-003","アクセシビリティ・i18n","i18n","英語対応","海外コミュニティ向け","一般ユーザ","未実装","P4(1年内)","Could","L","I-001","-"
"I-004","アクセシビリティ・i18n","a11y","ARIA／aria-label の適切な付与","スクリーンリーダー対応","一般ユーザ","部分実装","P2(リリース直後)","Should","M","-","Radix UI部分のみ自動対応"
"I-005","アクセシビリティ・i18n","a11y","キーボード操作（Tab順序・Skip Link）","マウス無し操作","一般ユーザ","未実装","P2(リリース直後)","Should","M","-","-"
"I-006","アクセシビリティ・i18n","a11y","フォーカス管理（モーダル等）","Focus trap／戻り先管理","一般ユーザ","未実装","P2(リリース直後)","Should","M","-","-"
"I-007","アクセシビリティ・i18n","a11y","コントラスト比 WCAG AA","視認性","一般ユーザ","未実装","P2(リリース直後)","Should","M","-","Tailwind tokens の見直し"
"I-008","アクセシビリティ・i18n","a11y","文字サイズ切替／ズーム対応","高齢者・視覚特性","一般ユーザ","未実装","P3(半年内)","Could","M","-","-"
"I-009","アクセシビリティ・i18n","a11y","axe-core 自動検査","a11y回帰防止","-","未実装","P3(半年内)","Should","M","M-007","-"
"I-010","アクセシビリティ・i18n","モバイル","PWAマニフェスト・インストール対応","ホーム画面追加","一般ユーザ","未実装","P3(半年内)","Could","M","-","-"
"I-011","アクセシビリティ・i18n","モバイル","Service Worker（オフライン対応）","通信不安定時の体験","一般ユーザ","未実装","P3(半年内)","Could","L","I-010","-"
"I-012","アクセシビリティ・i18n","モバイル","viewport meta／safe-area対応","モバイル表示の安定","一般ユーザ","部分実装","P1(初期必須)","Must","S","-","Tailwindクラス確認"
"I-013","アクセシビリティ・i18n","モバイル","レスポンシブ全画面検証","主要解像度での表示確認","一般ユーザ","部分実装","P1(初期必須)","Must","M","-","QAチェックリスト化"
"I-014","アクセシビリティ・i18n","モバイル","ダークモード","アクセシビリティ／好み対応","一般ユーザ","未実装","P4(1年内)","Could","M","-","-"
"J-001","Webセキュリティ","通信","HTTPS全経路の強制","TLS必須化","-","未実装","P1(初期必須)","Must","S","K-001","本番ホスト設定の話"
"J-002","Webセキュリティ","ヘッダ","CSP／HSTS／X-Frame-Options 等","セキュリティヘッダ整備","-","未実装","P1(初期必須)","Must","M","K-001","-"
"J-003","Webセキュリティ","入力","CSRF対策（SSR routes）","非GET操作の保護","-","未実装","P2(リリース直後)","Should","M","-","React Routerでの実装パターン要確認"
"J-004","Webセキュリティ","入力","XSS対策（Markdown sanitize 等）","ユーザ入力／.md表示の安全化","-","部分実装","P1(初期必須)","Must","M","-","terms.md/privacy.md レンダリング系統の確認"
"J-005","Webセキュリティ","入力","Zodベース入力バリデーション","フォーム共通の検証層","-","部分実装","P2(リリース直後)","Should","M","-","断片的に存在"
"J-006","Webセキュリティ","入力","アバターURL のSSRF対策／許可リスト","外部URLからの画像取得の安全化","-","未実装","P2(リリース直後)","Should","S","B-015","-"
"J-007","Webセキュリティ","防御","WAF（Cloudflare等）","Bot／DDoS耐性","-","未実装","P2(リリース直後)","Should","M","K-001","-"
"J-008","Webセキュリティ","秘密鍵","ADMIN_PRIVATE_KEY のKMS／HSM化","平文env からの脱却","運用","未実装","P1(初期必須)","Must","M","B-018","運用上最大級のリスク"
"J-009","Webセキュリティ","秘密管理","Secrets管理（1Password/Doppler/SSM）","環境変数共有方法の整備","運用","未実装","P1(初期必須)","Must","M","-","-"
"J-010","Webセキュリティ","依存関係","Dependabot／Renovate","依存脆弱性追従","開発","未実装","P1(初期必須)","Must","S","-","設定ファイル追加のみ"
"J-011","Webセキュリティ","依存関係","npm audit／snyk のCI","CIで失敗化","開発","未実装","P2(リリース直後)","Should","S","K-005","-"
"J-012","Webセキュリティ","防御","レート制限（API/middleware）","ブルートフォース／API乱用防止","-","未実装","P2(リリース直後)","Should","M","K-001","-"
"J-013","Webセキュリティ","Bot","reCAPTCHA／Turnstile","フォーム保護","-","未実装","P3(半年内)","Could","S","-","必要に応じて"
"J-014","Webセキュリティ","リプレイ","Permit／AllowList署名のリプレイ・有効期限確認","セキュリティレビューチェック項目","-","部分実装","P1(初期必須)","Must","S","E-016","ロジックは存在、レビュー記録要"
"J-015","Webセキュリティ","監査","Web操作の監査ログ","重要操作の追跡","運用","未実装","P2(リリース直後)","Should","M","K-011","-"
"K-001","インフラ・運用","本番環境","本番ホスティング（Vercel/Cloudflare/k8s）","フロントエンド本番","-","未実装","P1(初期必須)","Must","M","-","現状デプロイ環境の痕跡なし"
"K-002","インフラ・運用","本番環境","ステージング環境","リリース前検証環境","-","未実装","P1(初期必須)","Must","M","K-001","-"
"K-003","インフラ・運用","コンテナ","frontend Dockerfile","本番イメージ","-","実装済","P1(初期必須)","Must","-","-","Node20 Alpineマルチステージ"
"K-004","インフラ・運用","コンテナ","contract／indexer Dockerfile（必要に応じて）","運用ツール用","-","未実装","P3(半年内)","Could","S","-","常駐サービスではないので必要性は低い"
"K-005","インフラ・運用","CI/CD","GitHub Actions パイプライン","lint/test/typecheck/build自動化","開発","未実装","P1(初期必須)","Must","M","-",".github/workflows/未作成"
